municipio,abertura,fechamento,atividade,porte,natureza juridica
São João da Varjota,2021-09-16,,INDÚSTRIAS EXTRATIVAS,mei,EI – Empresário Individual
Fronteiras,2013-12-19,2005-07-01,SAÚDE HUMANA E SERVIÇOS SOCIAIS,mei,EI – Empresário Individual
São Miguel do Tapuio,2006-01-06,,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",pequena,Sociedade Simples Limitada
Massapê do Piauí,2003-05-26,2020-05-05,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",media/grande,Sociedade Simples Limitada
Castelo do Piauí,2018-02-16,2015-03-16,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",me,Eireli
Batalha,2011-11-17,2013-12-18,INDÚSTRIAS DE TRANSFORMAÇÃO,mei,Eireli
Corrente,2023-08-04,2016-03-06,EDUCAÇÃO,me,MEI – Microempreendedor Individual
Geminiano,2019-02-10,2003-09-24,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,pequena,Eireli
Pedro Laurentino,2018-09-24,2019-07-20,"TRANSPORTE, ARMAZENAGEM E CORREIO",media/grande,EI – Empresário Individual
Geminiano,2002-03-07,2015-07-28,SAÚDE HUMANA E SERVIÇOS SOCIAIS,pequena,Sociedade Simples Limitada
Pedro Laurentino,2011-12-08,2016-07-07,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",media/grande,Eireli
Barro Duro,2016-09-28,2004-09-06,EDUCAÇÃO,mei,EI – Empresário Individual
Barro Duro,2008-01-03,2010-11-15,CONSTRUÇÃO,pequena,MEI – Microempreendedor Individual
Alvorada do Gurguéia,2020-06-20,2010-12-24,"TRANSPORTE, ARMAZENAGEM E CORREIO",media/grande,EI – Empresário Individual
São Raimundo Nonato,2012-03-11,2020-09-24,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,media/grande,Eireli
Cocal,2016-08-29,,SERVIÇOS DOMÉSTICOS,mei,Eireli
Riacho Frio,2022-09-24,2019-08-31,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",pequena,MEI – Microempreendedor Individual
Brejo do Piauí,2019-02-01,2020-04-11,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",pequena,Eireli
Bonfim do Piauí,2019-07-30,,SERVIÇOS DOMÉSTICOS,mei,Sociedade Simples Limitada
João Costa,2010-12-02,2004-07-17,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,mei,Sociedade Simples Limitada
Coivaras,2015-12-03,2003-09-07,CONSTRUÇÃO,me,Sociedade Simples Limitada
Francinópolis,2015-11-28,2018-08-05,ELETRICIDADE E GÁS,me,Sociedade Anônima
Acauã,2021-03-03,2009-03-11,CONSTRUÇÃO,mei,EI – Empresário Individual
Matias Olímpio,2016-02-26,2012-03-18,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,mei,EI – Empresário Individual
Francisco Ayres,2004-11-21,2003-04-12,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",pequena,MEI – Microempreendedor Individual
Santa Rosa do Piauí,2020-04-22,2018-06-18,OUTRAS ATIVIDADES DE SERVIÇOS,pequena,Sociedade Simples Limitada
Sebastião Leal,2024-05-04,2019-12-02,"TRANSPORTE, ARMAZENAGEM E CORREIO",media/grande,Eireli
Fartura do Piauí,2001-11-01,,COMÉRCIO,me,Sociedade Anônima
Canavieira,2018-12-20,2019-03-09,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",me,MEI – Microempreendedor Individual
Floriano,2019-05-20,,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,media/grande,Sociedade Simples Limitada
Joaquim Pires,2001-06-08,2004-10-12,EDUCAÇÃO,media/grande,Sociedade Simples Limitada
Alagoinha do Piauí,2020-11-12,2014-10-28,ELETRICIDADE E GÁS,mei,Sociedade Simples Limitada
Tanque do Piauí,2010-01-10,2023-02-22,COMÉRCIO,media/grande,Sociedade Anônima
Milton Brandão,2006-12-31,2009-10-18,INFORMAÇÃO E COMUNICAÇÃO,mei,EI – Empresário Individual
Capitão Gervásio Oliveira,2005-09-14,2006-04-01,EDUCAÇÃO,mei,EI – Empresário Individual
João Costa,2021-12-22,2006-09-13,INFORMAÇÃO E COMUNICAÇÃO,mei,Sociedade Simples Limitada
Currais,2001-12-02,2001-02-22,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",media/grande,Sociedade Simples Limitada
Buriti dos Montes,2005-09-17,2019-04-26,COMÉRCIO,pequena,Sociedade Simples Limitada
Canavieira,2003-08-24,2006-11-26,INFORMAÇÃO E COMUNICAÇÃO,pequena,EI – Empresário Individual
Pio IX,2002-06-04,,COMÉRCIO,mei,Sociedade Simples Limitada
Santa Luz,2015-11-12,2007-09-27,INDÚSTRIAS EXTRATIVAS,me,MEI – Microempreendedor Individual
Brejo do Piauí,2005-06-09,2023-12-20,INDÚSTRIAS DE TRANSFORMAÇÃO,pequena,Sociedade Simples Limitada
Sebastião Barros,2006-08-06,,ALOJAMENTO E ALIMENTAÇÃO,mei,Sociedade Simples Limitada
Conceição do Canindé,2018-01-04,2001-08-04,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",me,Eireli
Lagoa de São Francisco,2019-12-09,2002-05-24,INFORMAÇÃO E COMUNICAÇÃO,mei,Sociedade Simples Limitada
Milton Brandão,2008-08-25,2015-10-10,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",pequena,Sociedade Simples Limitada
Várzea Branca,2015-12-06,,ATIVIDADES IMOBILIÁRIAS,me,MEI – Microempreendedor Individual
Cocal,2003-11-16,2018-09-13,INFORMAÇÃO E COMUNICAÇÃO,mei,MEI – Microempreendedor Individual
Regeneração,2022-01-22,2016-12-11,ELETRICIDADE E GÁS,media/grande,Sociedade Simples Limitada
São Miguel do Tapuio,2002-09-15,2023-12-04,ATIVIDADES IMOBILIÁRIAS,pequena,Sociedade Anônima
Canto do Buriti,2008-12-21,2016-03-14,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",pequena,Sociedade Anônima
Alagoinha do Piauí,2006-12-27,2023-05-20,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",pequena,Sociedade Simples Limitada
Jardim do Mulato,2023-10-03,2015-01-31,ATIVIDADES IMOBILIÁRIAS,mei,Eireli
Lagoa do Piauí,2001-04-06,2012-04-17,INFORMAÇÃO E COMUNICAÇÃO,mei,Sociedade Simples Limitada
Tanque do Piauí,2015-06-18,2004-10-27,EDUCAÇÃO,me,Eireli
Conceição do Canindé,2003-09-16,2001-08-20,EDUCAÇÃO,me,Eireli
Assunção do Piauí,2008-02-16,2014-04-15,SAÚDE HUMANA E SERVIÇOS SOCIAIS,mei,Sociedade Anônima
Geminiano,2022-07-23,2000-11-30,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",media/grande,MEI – Microempreendedor Individual
Isaías Coelho,2014-09-24,2008-02-24,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",me,Sociedade Simples Limitada
Coronel José Dias,2008-08-09,,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",pequena,Eireli
Luís Correia,2002-06-11,2023-04-11,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",me,EI – Empresário Individual
Belém do Piauí,2017-01-11,2001-11-21,SERVIÇOS DOMÉSTICOS,me,EI – Empresário Individual
Campo Alegre do Fidalgo,2017-06-11,2018-12-23,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",media/grande,Eireli
Domingos Mourão,2016-08-06,2004-01-12,OUTRAS ATIVIDADES DE SERVIÇOS,me,Sociedade Anônima
Agricolândia,2023-03-31,2001-03-28,INDÚSTRIAS DE TRANSFORMAÇÃO,pequena,MEI – Microempreendedor Individual
Guaribas,2013-11-15,2020-04-05,INDÚSTRIAS DE TRANSFORMAÇÃO,me,Sociedade Simples Limitada
Cocal de Telha,2020-02-03,2015-03-12,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",media/grande,MEI – Microempreendedor Individual
Canto do Buriti,2007-06-30,2021-12-22,COMÉRCIO,media/grande,EI – Empresário Individual
Canto do Buriti,2017-03-08,,CONSTRUÇÃO,pequena,MEI – Microempreendedor Individual
São Gonçalo do Piauí,2006-08-22,2001-02-23,INDÚSTRIAS EXTRATIVAS,me,Eireli
Lagoa do Barro do Piauí,2006-08-15,,CONSTRUÇÃO,mei,MEI – Microempreendedor Individual
Oeiras,2021-06-16,,INDÚSTRIAS DE TRANSFORMAÇÃO,pequena,Sociedade Anônima
Flores do Piauí,2009-04-09,2021-06-06,ATIVIDADES IMOBILIÁRIAS,media/grande,MEI – Microempreendedor Individual
Sigefredo Pacheco,2016-03-13,2020-06-19,ALOJAMENTO E ALIMENTAÇÃO,pequena,Sociedade Simples Limitada
Baixa Grande do Ribeiro,2017-07-18,2021-11-24,SERVIÇOS DOMÉSTICOS,media/grande,Eireli
Madeiro,2007-02-11,2013-06-07,INDÚSTRIAS EXTRATIVAS,pequena,MEI – Microempreendedor Individual
Caracol,2000-08-28,2009-02-19,ELETRICIDADE E GÁS,mei,Sociedade Simples Limitada
Isaías Coelho,2012-12-26,2008-04-12,ALOJAMENTO E ALIMENTAÇÃO,media/grande,EI – Empresário Individual
Matias Olímpio,2013-04-25,2003-07-14,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",media/grande,Sociedade Anônima
Pimenteiras,2023-01-18,2007-06-26,OUTRAS ATIVIDADES DE SERVIÇOS,pequena,MEI – Microempreendedor Individual
Buriti dos Montes,2005-02-18,,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",pequena,MEI – Microempreendedor Individual
Campo Maior,2009-04-24,2011-12-08,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",mei,Sociedade Simples Limitada
Castelo do Piauí,2020-03-19,2002-10-07,OUTRAS ATIVIDADES DE SERVIÇOS,me,MEI – Microempreendedor Individual
Corrente,2003-10-06,2012-08-17,SERVIÇOS DOMÉSTICOS,pequena,MEI – Microempreendedor Individual
São João do Arraial,2001-02-08,2016-08-26,"TRANSPORTE, ARMAZENAGEM E CORREIO",pequena,Sociedade Anônima
Santa Cruz do Piauí,2015-03-23,2019-07-19,COMÉRCIO,media/grande,Sociedade Simples Limitada
Aroazes,2005-07-08,,INDÚSTRIAS DE TRANSFORMAÇÃO,pequena,Eireli
Ipirá,2020-12-31,2017-07-08,INDÚSTRIAS EXTRATIVAS,pequena,Sociedade Anônima
Olho d'Água do Piauí,2024-05-22,2013-02-15,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",media/grande,Sociedade Simples Limitada
Barro Duro,2001-08-01,2005-09-11,OUTRAS ATIVIDADES DE SERVIÇOS,me,MEI – Microempreendedor Individual
Curimatá,2001-03-29,2023-06-16,"TRANSPORTE, ARMAZENAGEM E CORREIO",me,Sociedade Anônima
Uruçuí,2006-08-04,2005-02-02,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",pequena,Eireli
Curral Novo do Piauí,2008-02-27,2002-04-04,OUTRAS ATIVIDADES DE SERVIÇOS,pequena,Sociedade Simples Limitada
Flores do Piauí,2009-11-18,2014-12-15,EDUCAÇÃO,me,Sociedade Simples Limitada
Juazeiro do Piauí,2016-07-31,2006-09-01,"TRANSPORTE, ARMAZENAGEM E CORREIO",pequena,Sociedade Anônima
Santa Luz,2005-10-17,,EDUCAÇÃO,me,Sociedade Simples Limitada
Cristalândia do Piauí,2022-07-28,,EDUCAÇÃO,mei,Eireli
Parnaíba,2020-12-27,2005-12-20,ELETRICIDADE E GÁS,mei,MEI – Microempreendedor Individual
Agricolândia,2012-12-03,2021-05-21,ALOJAMENTO E ALIMENTAÇÃO,mei,Sociedade Simples Limitada
Coivaras,2017-11-13,2006-07-28,CONSTRUÇÃO,me,Sociedade Anônima
Dom Inocêncio,2018-05-21,2022-01-11,ALOJAMENTO E ALIMENTAÇÃO,pequena,Eireli
Padre Marcos,2018-12-09,,SERVIÇOS DOMÉSTICOS,pequena,Sociedade Simples Limitada
Madeiro,2021-03-25,2009-08-15,CONSTRUÇÃO,me,Sociedade Simples Limitada
Luzilândia,2001-05-14,2021-05-18,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",mei,Sociedade Simples Limitada
Alagoinha do Piauí,2020-04-14,,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",mei,Eireli
Francisco Santos,2010-09-03,,"TRANSPORTE, ARMAZENAGEM E CORREIO",me,Sociedade Anônima
Santa Filomena,2016-02-14,2016-04-02,"TRANSPORTE, ARMAZENAGEM E CORREIO",me,Sociedade Simples Limitada
Lagoa de São Francisco,2015-04-23,,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",mei,Sociedade Simples Limitada
Várzea Branca,2005-01-24,2023-05-23,ALOJAMENTO E ALIMENTAÇÃO,media/grande,EI – Empresário Individual
Anísio de Abreu,2002-04-17,2018-12-28,EDUCAÇÃO,pequena,Eireli
Alvorada do Gurguéia,2010-02-13,2009-10-31,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",me,EI – Empresário Individual
Teresina,2002-03-18,,INDÚSTRIAS DE TRANSFORMAÇÃO,mei,Sociedade Anônima
Passagem Franca do Piauí,2013-10-21,,INFORMAÇÃO E COMUNICAÇÃO,media/grande,Eireli
Ipirá,2009-03-08,2001-06-07,ELETRICIDADE E GÁS,media/grande,Sociedade Simples Limitada
Paes Landim,2009-10-18,2018-04-26,SAÚDE HUMANA E SERVIÇOS SOCIAIS,media/grande,Sociedade Anônima
Caxingó,2004-09-22,2004-01-04,OUTRAS ATIVIDADES DE SERVIÇOS,pequena,Sociedade Simples Limitada
Cajueiro da Praia,2023-12-26,2003-10-12,CONSTRUÇÃO,pequena,Sociedade Simples Limitada
Currais,2024-05-27,2012-02-29,"TRANSPORTE, ARMAZENAGEM E CORREIO",mei,Eireli
Barra d'Alcântara,2002-12-04,2002-02-23,OUTRAS ATIVIDADES DE SERVIÇOS,media/grande,EI – Empresário Individual
Lagoa de São Francisco,2000-10-07,2006-10-02,INDÚSTRIAS DE TRANSFORMAÇÃO,me,Sociedade Simples Limitada
Dom Expedito Lopes,2015-01-01,2013-09-21,COMÉRCIO,media/grande,EI – Empresário Individual
Murici dos Portelas,2014-10-21,2020-06-02,INFORMAÇÃO E COMUNICAÇÃO,mei,MEI – Microempreendedor Individual
Belém do Piauí,2012-07-10,2010-04-04,EDUCAÇÃO,me,Sociedade Simples Limitada
Pau d'Arco do Piauí,2022-03-24,2021-03-24,SAÚDE HUMANA E SERVIÇOS SOCIAIS,media/grande,Sociedade Anônima
Guadalupe,2020-12-19,,OUTRAS ATIVIDADES DE SERVIÇOS,pequena,Sociedade Simples Limitada
Belém do Piauí,2008-03-05,,SAÚDE HUMANA E SERVIÇOS SOCIAIS,media/grande,Sociedade Anônima
Queimada Nova,2011-07-30,2020-02-19,SAÚDE HUMANA E SERVIÇOS SOCIAIS,pequena,EI – Empresário Individual
Colônia do Piauí,2009-11-26,2012-08-24,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",me,Eireli
Lagoa Alegre,2013-03-02,2012-05-17,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,me,Sociedade Simples Limitada
Passagem Franca do Piauí,2015-10-28,2002-06-06,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",mei,Sociedade Simples Limitada
Santo Inácio do Piauí,2001-03-14,2017-08-18,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",me,EI – Empresário Individual
São Braz do Piauí,2019-05-12,2005-03-19,SAÚDE HUMANA E SERVIÇOS SOCIAIS,me,Sociedade Simples Limitada
Isaías Coelho,2021-01-13,,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",me,Sociedade Anônima
Ribeira do Piauí,2006-09-20,2013-12-18,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",media/grande,Sociedade Simples Limitada
Santo Inácio do Piauí,2019-05-22,,SAÚDE HUMANA E SERVIÇOS SOCIAIS,media/grande,Sociedade Simples Limitada
Conceição do Canindé,2007-09-30,2007-06-03,SERVIÇOS DOMÉSTICOS,mei,Eireli
Inhuma,2000-08-03,,CONSTRUÇÃO,media/grande,EI – Empresário Individual
Várzea Grande,2002-01-25,,SAÚDE HUMANA E SERVIÇOS SOCIAIS,me,MEI – Microempreendedor Individual
São Luis do Piauí,2012-08-23,2009-01-07,OUTRAS ATIVIDADES DE SERVIÇOS,me,EI – Empresário Individual
Amarante,2015-08-28,2004-09-22,INDÚSTRIAS DE TRANSFORMAÇÃO,media/grande,Sociedade Simples Limitada
Dirceu Arcoverde,2020-08-07,2011-08-25,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",media/grande,EI – Empresário Individual
Brejo do Piauí,2020-07-08,2014-01-28,EDUCAÇÃO,mei,EI – Empresário Individual
Várzea Branca,2010-10-21,,"TRANSPORTE, ARMAZENAGEM E CORREIO",mei,EI – Empresário Individual
Campinas do Piauí,2009-08-30,2021-07-15,OUTRAS ATIVIDADES DE SERVIÇOS,media/grande,Sociedade Anônima
Dom Inocêncio,2020-04-11,,CONSTRUÇÃO,media/grande,MEI – Microempreendedor Individual
Vera Mendes,2004-01-30,2015-04-24,OUTRAS ATIVIDADES DE SERVIÇOS,pequena,Sociedade Simples Limitada
Palmeira do Piauí,2023-01-29,2020-09-17,COMÉRCIO,me,Sociedade Simples Limitada
Marcolândia,2002-08-04,2007-05-26,INDÚSTRIAS EXTRATIVAS,mei,Sociedade Simples Limitada
Prata do Piauí,2002-04-29,2021-09-21,OUTRAS ATIVIDADES DE SERVIÇOS,pequena,Sociedade Simples Limitada
Brejo do Piauí,2007-08-09,2020-10-19,OUTRAS ATIVIDADES DE SERVIÇOS,media/grande,EI – Empresário Individual
Brejo do Piauí,2014-04-01,2005-08-27,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",pequena,Sociedade Simples Limitada
Cocal de Telha,2019-07-14,2004-12-04,INFORMAÇÃO E COMUNICAÇÃO,pequena,MEI – Microempreendedor Individual
Jurema,2003-11-06,,ATIVIDADES IMOBILIÁRIAS,media/grande,Sociedade Anônima
Santa Luz,2008-06-23,2021-04-12,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",me,Sociedade Simples Limitada
Geminiano,2002-09-09,2009-07-01,SAÚDE HUMANA E SERVIÇOS SOCIAIS,media/grande,Eireli
Francisco Ayres,2021-10-20,2014-07-20,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",media/grande,Sociedade Simples Limitada
Pimenteiras,2004-01-14,2016-05-13,"TRANSPORTE, ARMAZENAGEM E CORREIO",media/grande,Sociedade Simples Limitada
Anísio de Abreu,2012-01-25,2010-04-08,INDÚSTRIAS DE TRANSFORMAÇÃO,pequena,Eireli
Paes Landim,2024-02-02,,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",pequena,Sociedade Simples Limitada
Elesbão Veloso,2001-08-15,2012-03-10,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",mei,Sociedade Simples Limitada
Flores do Piauí,2008-08-31,,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,media/grande,Eireli
Cocal,2017-07-20,2018-05-22,INFORMAÇÃO E COMUNICAÇÃO,pequena,Eireli
Alagoinha do Piauí,2006-01-01,2018-12-14,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",me,Eireli
Batalha,2004-04-04,,SERVIÇOS DOMÉSTICOS,mei,Sociedade Simples Limitada
Wall Ferraz.,2021-12-24,2013-06-02,COMÉRCIO,mei,EI – Empresário Individual
Esperantina,2012-11-07,2018-11-12,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",pequena,Eireli
Fronteiras,2016-06-08,2017-07-09,OUTRAS ATIVIDADES DE SERVIÇOS,pequena,EI – Empresário Individual
Caraúbas do Piauí,2019-06-15,2006-03-16,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",mei,EI – Empresário Individual
Campo Largo do Piauí,2004-10-25,2021-09-18,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",me,Sociedade Simples Limitada
Morro Cabeça no Tempo,2012-11-13,2013-10-26,"TRANSPORTE, ARMAZENAGEM E CORREIO",mei,MEI – Microempreendedor Individual
Alto Longá,2010-12-22,,INFORMAÇÃO E COMUNICAÇÃO,mei,EI – Empresário Individual
Pavussu,2017-02-03,,EDUCAÇÃO,me,Sociedade Anônima
Fronteiras,2001-04-22,2015-11-10,INFORMAÇÃO E COMUNICAÇÃO,pequena,Sociedade Anônima
Santana do Piauí,2023-11-03,2015-09-05,EDUCAÇÃO,me,EI – Empresário Individual
Novo Santo Antônio,2023-12-20,2012-07-21,INDÚSTRIAS DE TRANSFORMAÇÃO,pequena,EI – Empresário Individual
Santo Antônio dos Milagres,2003-04-06,2014-05-28,CONSTRUÇÃO,pequena,EI – Empresário Individual
Tanque do Piauí,2004-06-07,2000-07-09,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",mei,Sociedade Simples Limitada
Domingos Mourão,2014-03-04,2020-02-04,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",media/grande,Sociedade Simples Limitada
Jardim do Mulato,2004-11-23,2020-06-02,SERVIÇOS DOMÉSTICOS,media/grande,Sociedade Simples Limitada
Arraial,2017-08-22,2018-11-25,ALOJAMENTO E ALIMENTAÇÃO,media/grande,Sociedade Simples Limitada
Palmeira do Piauí,2020-07-28,,SERVIÇOS DOMÉSTICOS,me,Sociedade Anônima
Massapê do Piauí,2010-03-10,2021-10-30,SAÚDE HUMANA E SERVIÇOS SOCIAIS,media/grande,Sociedade Anônima
Bom Princípio do Piauí,2017-11-05,2018-02-17,OUTRAS ATIVIDADES DE SERVIÇOS,media/grande,Sociedade Simples Limitada
Angical do Piauí,2008-08-13,2001-10-21,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",mei,Eireli
Palmeira do Piauí,2009-12-09,2005-08-27,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",mei,EI – Empresário Individual
Coronel José Dias,2010-06-10,2001-05-31,EDUCAÇÃO,pequena,Sociedade Simples Limitada
Inhuma,2012-01-12,2001-10-20,SERVIÇOS DOMÉSTICOS,pequena,MEI – Microempreendedor Individual
João Costa,2016-05-30,,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",media/grande,Eireli
Domingos Mourão,2015-10-16,2008-04-26,INDÚSTRIAS EXTRATIVAS,mei,Eireli
Santo Inácio do Piauí,2015-04-10,2004-03-13,ELETRICIDADE E GÁS,me,Sociedade Simples Limitada
Santa Luz,2019-03-06,2018-03-01,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",mei,Sociedade Simples Limitada
Pajeú do Piauí,2015-11-24,2017-11-07,ATIVIDADES IMOBILIÁRIAS,me,Sociedade Anônima
Pedro II,2008-10-03,2021-05-25,SERVIÇOS DOMÉSTICOS,me,Sociedade Simples Limitada
Aroeiras do Itaim,2013-03-07,2006-05-28,COMÉRCIO,me,Sociedade Simples Limitada
Campinas do Piauí,2014-06-04,,ALOJAMENTO E ALIMENTAÇÃO,media/grande,Eireli
Caridade do Piauí,2023-07-10,,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,me,Sociedade Simples Limitada
Campo Alegre do Fidalgo,2012-11-26,2021-05-27,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",mei,MEI – Microempreendedor Individual
Guaribas,2023-10-06,2014-08-27,ELETRICIDADE E GÁS,media/grande,Sociedade Anônima
Ilha Grande,2022-03-09,2006-02-27,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,mei,Sociedade Simples Limitada
Matias Olímpio,2014-08-26,2020-09-12,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",mei,Eireli
Jacobina do Piauí,2016-09-10,,ATIVIDADES IMOBILIÁRIAS,mei,MEI – Microempreendedor Individual
Oeiras,2015-07-15,2022-04-27,INDÚSTRIAS DE TRANSFORMAÇÃO,mei,Eireli
Piripiri,2011-06-25,2009-11-17,OUTRAS ATIVIDADES DE SERVIÇOS,mei,Sociedade Simples Limitada
Madeiro,2003-01-24,2010-03-29,INDÚSTRIAS DE TRANSFORMAÇÃO,pequena,MEI – Microempreendedor Individual
Tanque do Piauí,2023-02-18,2006-01-27,SERVIÇOS DOMÉSTICOS,pequena,MEI – Microempreendedor Individual
Santa Filomena,2001-01-02,,COMÉRCIO,media/grande,Sociedade Simples Limitada
Aroazes,2001-11-23,2014-02-08,EDUCAÇÃO,pequena,Sociedade Simples Limitada
Buriti dos Montes,2015-08-21,2015-03-02,SAÚDE HUMANA E SERVIÇOS SOCIAIS,mei,EI – Empresário Individual
Acauã,2017-07-29,2019-07-31,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",media/grande,MEI – Microempreendedor Individual
Francinópolis,2008-10-22,2001-12-23,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",media/grande,Eireli
Alto Longá,2021-07-15,,EDUCAÇÃO,pequena,MEI – Microempreendedor Individual
Juazeiro do Piauí,2001-03-26,2005-06-13,OUTRAS ATIVIDADES DE SERVIÇOS,pequena,MEI – Microempreendedor Individual
Sussuapara,2019-07-11,2004-07-16,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",pequena,MEI – Microempreendedor Individual
Joaquim Pires,2006-03-18,2017-01-06,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",mei,Sociedade Simples Limitada
Barro Duro,2001-11-19,,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",mei,Sociedade Anônima
Várzea Grande,2009-05-22,2003-07-25,INDÚSTRIAS DE TRANSFORMAÇÃO,mei,Eireli
Dom Inocêncio,2023-10-15,2023-05-14,INFORMAÇÃO E COMUNICAÇÃO,media/grande,EI – Empresário Individual
Elesbão Veloso,2017-04-26,2009-07-02,SERVIÇOS DOMÉSTICOS,media/grande,Sociedade Anônima
Jatobá do Piauí,2007-03-15,,INDÚSTRIAS EXTRATIVAS,media/grande,Sociedade Simples Limitada
Francinópolis,2001-01-24,2004-02-10,CONSTRUÇÃO,me,MEI – Microempreendedor Individual
